score=257,认假率=0.000000,拒真率=0.997354,识别率=0.501323
score=258,认假率=0.000000,拒真率=0.997354,识别率=0.501323
score=259,认假率=0.000000,拒真率=0.997354,识别率=0.501323
score=260,认假率=0.000000,拒真率=0.997354,识别率=0.501323
score=261,认假率=0.000000,拒真率=0.997354,识别率=0.501323
score=262,认假率=0.000000,拒真率=0.997354,识别率=0.501323
score=263,认假率=0.000000,拒真率=0.997354,识别率=0.501323
score=264,认假率=0.000000,拒真率=0.997354,识别率=0.501323
score=265,认假率=0.000000,拒真率=0.997354,识别率=0.501323
score=266,认假率=0.000000,拒真率=0.997354,识别率=0.501323
score=267,认假率=0.000000,拒真率=0.997354,识别率=0.501323
score=268,认假率=0.000000,拒真率=0.997354,识别率=0.501323
score=269,认假率=0.000000,拒真率=0.997354,识别率=0.501323
score=270,认假率=0.000000,拒真率=0.997354,识别率=0.501323
score=271,认假率=0.000000,拒真率=0.997354,识别率=0.501323
score=272,认假率=0.000000,拒真率=0.997354,识别率=0.501323
score=273,认假率=0.000000,拒真率=0.997354,识别率=0.501323
score=274,认假率=0.000000,拒真率=0.997354,识别率=0.501323
score=275,认假率=0.000000,拒真率=0.997354,识别率=0.501323
score=276,认假率=0.000000,拒真率=0.997354,识别率=0.501323
score=277,认假率=0.000000,拒真率=0.997354,识别率=0.501323
score=278,认假率=0.000000,拒真率=0.997354,识别率=0.501323
score=279,认假率=0.000000,拒真率=0.997354,识别率=0.501323
score=280,认假率=0.000000,拒真率=0.997354,识别率=0.501323
score=281,认假率=0.000000,拒真率=0.997354,识别率=0.501323
score=282,认假率=0.000000,拒真率=0.997354,识别率=0.501323
score=283,认假率=0.000000,拒真率=0.997354,识别率=0.501323
score=284,认假率=0.000000,拒真率=0.997354,识别率=0.501323
score=285,认假率=0.000000,拒真率=0.997883,识别率=0.501058
score=286,认假率=0.000000,拒真率=0.997883,识别率=0.501058
score=287,认假率=0.000000,拒真率=0.997883,识别率=0.501058
score=288,认假率=0.000000,拒真率=0.997883,识别率=0.501058
score=289,认假率=0.000000,拒真率=0.997883,识别率=0.501058
score=290,认假率=0.000000,拒真率=0.997883,识别率=0.501058
score=291,认假率=0.000000,拒真率=0.997883,识别率=0.501058
score=292,认假率=0.000000,拒真率=0.997883,识别率=0.501058
score=293,认假率=0.000000,拒真率=0.997883,识别率=0.501058
score=294,认假率=0.000000,拒真率=0.997883,识别率=0.501058
score=295,认假率=0.000000,拒真率=0.997883,识别率=0.501058
score=296,认假率=0.000000,拒真率=0.997883,识别率=0.501058
score=297,认假率=0.000000,拒真率=0.997883,识别率=0.501058
score=298,认假率=0.000000,拒真率=0.997883,识别率=0.501058
score=299,认假率=0.000000,拒真率=0.997883,识别率=0.501058
score=300,认假率=0.000000,拒真率=0.997883,识别率=0.501058
score=301,认假率=0.000000,拒真率=0.997883,识别率=0.501058
score=302,认假率=0.000000,拒真率=0.997883,识别率=0.501058
score=303,认假率=0.000000,拒真率=0.997883,识别率=0.501058
score=304,认假率=0.000000,拒真率=0.997883,识别率=0.501058
score=305,认假率=0.000000,拒真率=0.997883,识别率=0.501058
score=306,认假率=0.000000,拒真率=0.997883,识别率=0.501058
score=307,认假率=0.000000,拒真率=0.997883,识别率=0.501058
score=308,认假率=0.000000,拒真率=0.997883,识别率=0.501058
score=309,认假率=0.000000,拒真率=0.997883,识别率=0.501058
score=310,认假率=0.000000,拒真率=0.997883,识别率=0.501058
score=311,认假率=0.000000,拒真率=0.997883,识别率=0.501058
score=312,认假率=0.000000,拒真率=0.997883,识别率=0.501058
score=313,认假率=0.000000,拒真率=0.997883,识别率=0.501058
